route_short_name,trip_id
102,7732462
102,7732463
102,7732466
102,7732467
102,7732470
102,7732472
102,7732473
102,7732475
102,7732476
102,7732477
102,7732479
102,7732480
102,7732481
102,7732485
102,7732487
102,7732488
102,7732489
102,7732490
102,7732491
102,7732629
102,7732631
102,7735809
102,7735810
102,7735811
102,7735812
102,7735813
102,7735814
102,7735854
102,7735857
102,7735858
102,7736003
102,7736004
102,7736005
102,7736006
102,7736008
102,7736011
102,7736012
102,7736014
102,7736016
102,7736017
102,7736019
102,7736020
102,7736021
102,7736022
102,7736023
102,7736024
102,7740470
102,7740471
102,7740480
102,7740521
102,7740522
102,7740523
102,7741310
102,7741311
102,7741312
102,7741313
102,7741314
102,7741315
102,7741316
102,7741317
102,7741318
102,7741319
102,7741320
102,7741321
102,7741322
102,7741327
102,7741331
102,7741334
102,7742150
102,7742158
102,7742159
102,7742160
102,7742162
102,7742164
102,7742165
102,7742166
102,7742171
102,7742177
102,7742180
102,7743683
102,7743684
102,7743685
102,7743686
102,7743692
102,7743966
102,7743967
102,7744362
102,7744364
102,7744366
102,7744367
102,7744368
102,7748421
102,7748422
102,7748423
102,7748429
102,7748434
102,7748435
102,7748437
102,7748440
102,7749329
102,7749331
102,7749332
102,7749735
102,7749940
102,7749941
102,7749942
102,7749945
102,7749947
102,7749948
102,7749949
102,7750229
102,7750230
102,7750232
102,7750233
102,7754060
102,7754061
102,7754065
102,7754066
102,7754069
102,7754070
102,7754071
102,7754072
102,7754075
102,7754076
102,7754077
102,7754078
102,7755613
102,7755614
102,7755622
102,7755623
102,7755624
102,7755628
102,7755629
102,7755630
102,7755905
102,7755906
102,7755909
102,7755910
102,7756781
102,7756782
102,7756783
102,7756791
102,7757071
102,7757072
102,7760300
102,7760301
102,7760302
102,7760303
102,7760304
102,7760307
102,7760309
102,7760311
102,7760312
102,7760315
102,7761780
102,7761781
102,7761784
102,7761785
102,7761939
102,7762027
102,7762028
102,7762527
102,7762754
102,7763313
102,7766001
102,7766003
102,7766006
102,7766009
102,7766010
102,7766013
102,7766014
102,7766015
102,7766016
102,7766020
102,7766021
102,7766023
102,7766025
102,7766026
102,7767860
102,7767864
102,7767865
102,7767866
102,7767868
102,7767869
102,7768147
102,7768148
102,7768150
102,7768226
102,7768228
102,7768229
102,7768230
102,7768231
102,7771709
102,7772056
102,7772057
102,7772521
102,7772647
102,7772728
102,7772850
102,7772852
102,7773525
102,7773526
102,7773527
102,7773528
102,7773636
102,7773705
102,7773819
102,7773821
102,7773822
102,7773961
102,7774521
102,7774619
102,7774621
102,7774622
102,7774708
102,7775794
102,7775795
102,7775796
102,7776454
102,7776456
102,7776778
102,7776779
102,7777110
102,7778214
102,7778218
102,7778227
102,7778234
102,7778604
102,7778605
102,7778607
102,7779115
102,7779465
102,7779475
107,7733030
107,7733031
107,7733032
107,7733033
107,7733034
107,7733035
107,7733036
107,7733037
107,7733038
107,7733039
107,7733040
107,7733041
107,7733042
107,7733043
107,7733044
107,7733045
107,7733046
107,7733077
107,7733078
107,7733079
107,7733084
107,7735943
107,7735944
107,7735945
107,7735946
107,7738205
107,7738206
107,7738207
107,7738208
107,7738209
107,7738210
107,7738211
107,7738212
107,7738213
107,7738214
107,7738215
107,7738216
107,7738217
107,7738218
107,7738219
107,7740607
107,7740608
107,7740609
107,7740610
107,7740611
107,7740612
107,7740613
107,7740614
107,7740615
